#{"t_start": 1778332086.155168, "env_id": "None"}
r,l,t
308.65,11,106.253059
-894.25,250,107.901875
307.5,10,107.920304
276.25,29,107.960343
-1050.55,250,108.31793
273.7,13,108.335281
309.25,15,108.352885
294.9,14,108.368199
300.25,6,108.376707
300.55,19,108.396836
299.95,15,108.419749
231.05,43,108.478065
245.2,31,108.521361
305.75,5,108.52915
-923.45,250,108.860615
304.6,4,108.866615
227.55,33,108.915357
309.25,15,108.937907
-1074.35,250,109.309775
299.95,15,109.328365
304.05,7,109.336925
168.2,45,109.40291
298.45,16,109.426992
305.75,5,109.433333
295.6,17,109.462418
306.9,6,109.472107
197.55,30,109.521872
304.05,7,109.534693
305.4,7,109.552954
294.6,8,109.566894
305.2,8,109.581324
